time,open,high,low,close,volume
2016-12-06,47.32,47.32,47.32,47.32,3010
2016-12-07,50.62,50.62,50.62,50.62,30
2016-12-08,54.13,54.13,54.13,54.13,1000
2016-12-09,54.13,57.9,54.13,57.9,3010
2016-12-12,61.95,61.95,61.95,61.95,35690
2016-12-13,66.25,66.25,66.25,66.25,96830
2016-12-14,70.88,70.88,70.88,70.88,154380
2016-12-15,75.82,75.82,75.29,75.82,380050
2016-12-16,81.13,81.13,71.7,80.66,387520
2016-12-19,76.0,80.66,76.0,76.0,168190
2016-12-20,75.64,75.82,70.7,70.7,399710
2016-12-21,70.7,72.96,66.32,71.99,241750
2016-12-22,75.25,75.25,72.78,72.78,52460
2016-12-23,72.78,72.78,70.66,71.7,54810
2016-12-26,72.07,72.07,69.15,71.7,169870
2016-12-27,71.7,72.72,70.28,72.07,69880
2016-12-28,72.72,72.72,71.74,72.39,28530
2016-12-29,72.07,72.07,70.25,71.7,98560
2016-12-30,72.07,72.07,71.16,71.96,96740
2017-01-03,71.96,71.96,71.3,71.7,63170
2017-01-04,71.7,72.28,70.97,71.7,87490
2017-01-05,71.7,72.07,71.34,71.74,27170
2017-01-06,72.03,76.4,71.77,74.98,212390
2017-01-09,74.98,75.7,74.61,74.61,31390
2017-01-10,75.3,75.3,73.34,74.43,44540
2017-01-11,74.25,76.43,73.52,76.43,228480
2017-01-12,77.52,77.52,76.43,76.65,55290
2017-01-13,76.69,77.23,76.65,77.09,37670
2017-01-16,76.8,76.8,75.7,76.07,33890
2017-01-17,75.89,79.13,75.74,78.8,113760
2017-01-18,78.36,81.89,78.36,81.46,103480
2017-01-19,81.89,81.89,80.07,81.46,40040
2017-01-20,81.16,81.93,81.16,81.46,77940
2017-01-23,81.46,81.46,80.25,80.8,44360
2017-01-24,80.07,81.53,80.07,80.8,137100
2017-01-25,80.8,81.46,80.07,81.46,18800
2017-02-02,81.49,81.49,79.71,79.71,18560
2017-02-03,79.13,81.13,78.76,78.98,51700
2017-02-06,79.89,79.89,76.98,78.25,50070
2017-02-07,78.25,80.07,77.52,78.62,76580
2017-02-08,78.62,78.98,78.25,78.36,36350
2017-02-09,78.36,78.36,75.7,76.8,150070
2017-02-10,76.8,77.89,76.8,77.6,35880
2017-02-13,77.6,78.14,76.43,77.67,25240
2017-02-14,77.67,78.94,77.56,78.62,72220
2017-02-15,78.62,78.62,77.45,77.85,84300
2017-02-16,77.89,78.62,77.89,78.4,44230
2017-02-17,78.25,78.25,77.89,78.14,34430
2017-02-20,77.63,79.34,77.6,79.34,103930
2017-02-21,79.2,80.07,79.2,79.93,34930
2017-02-22,79.89,81.71,79.89,81.64,100360
2017-02-23,81.86,82.62,81.53,82.62,130020
2017-02-24,82.98,83.71,82.26,82.62,107840
2017-02-27,81.71,82.95,81.53,81.93,61270
2017-02-28,82.07,82.33,81.93,81.93,50720
2017-03-01,82.26,82.26,81.89,82.22,69440
2017-03-02,82.62,82.62,79.78,81.86,30250
2017-03-03,81.16,82.04,80.44,82.04,20670
2017-03-06,81.89,82.07,80.8,81.71,32990
2017-03-07,81.86,81.89,81.02,81.02,35720
2017-03-08,81.02,81.02,79.49,79.67,14120
2017-03-09,78.65,80.44,77.16,78.62,56450
2017-03-10,78.62,78.62,76.8,76.8,17550
2017-03-13,76.8,76.8,75.12,75.34,30560
2017-03-14,75.34,78.98,73.96,77.89,54260
2017-03-15,77.89,78.25,76.8,77.02,13250
2017-03-16,77.02,77.89,74.8,77.49,7450
2017-03-17,77.49,77.49,75.7,75.7,14250
2017-03-20,75.7,76.4,75.7,76.07,7670
2017-03-21,76.07,76.07,74.54,74.69,61100
2017-03-22,74.69,74.94,72.98,73.89,42630
2017-03-23,73.63,74.54,72.98,73.52,20840
2017-03-24,73.52,73.56,72.47,72.79,101770
2017-03-27,72.79,72.98,72.43,72.79,25830
2017-03-28,73.16,73.52,72.43,72.43,55080
2017-03-29,72.1,74.61,72.07,72.79,35850
2017-03-30,72.79,73.52,72.79,73.52,11700
2017-03-31,73.52,73.52,72.79,72.79,10830
2017-04-03,72.79,73.48,72.79,72.94,20480
2017-04-04,72.57,72.94,72.57,72.94,11070
2017-04-05,73.7,73.89,73.01,73.89,24480
2017-04-07,73.89,74.61,73.52,74.61,22080
2017-04-10,74.25,76.07,74.21,76.07,41220
2017-04-11,76.07,76.25,75.34,75.52,47920
2017-04-12,75.34,75.52,73.89,73.89,7830
2017-04-13,73.52,74.98,73.52,74.61,17760
2017-04-14,75.3,75.3,73.7,74.25,24610
2017-04-17,74.61,75.34,74.25,75.34,60990
2017-04-18,74.98,74.98,74.07,74.61,49600
2017-04-19,74.61,74.61,72.98,73.34,9950
2017-04-20,73.34,73.34,72.79,72.79,23910
2017-04-21,72.79,73.16,72.07,73.16,28730
2017-04-24,73.16,73.34,72.79,72.79,54940
2017-04-25,72.43,72.79,72.43,72.43,12720
2017-04-26,72.61,72.98,72.43,72.98,15380
2017-04-27,72.98,73.16,72.76,72.76,66200
2017-04-28,72.76,72.79,72.07,72.76,7590
2017-05-03,72.76,72.76,72.43,72.76,5880
2017-05-04,72.76,72.76,72.17,72.43,39290
2017-05-05,72.36,72.57,72.36,72.54,1140
2017-05-08,72.61,72.61,72.43,72.43,38090
2017-05-09,72.43,72.43,71.59,71.59,15040
2017-05-10,71.52,72.43,71.52,71.63,7830
2017-05-11,71.63,72.17,71.3,71.3,18710
2017-05-12,71.34,72.03,71.34,71.52,7380
2017-05-15,71.52,71.52,70.61,70.61,23710
2017-05-16,70.61,70.61,69.55,69.55,8650
2017-05-17,68.43,70.97,68.43,68.68,21820
2017-05-18,68.72,69.15,68.72,69.12,8860
2017-05-19,69.15,69.15,68.75,69.15,18730
2017-05-22,69.15,69.88,68.97,69.3,68360
2017-05-23,71.16,71.23,69.52,70.61,234300
2017-05-24,70.61,70.61,69.26,69.52,38050
2017-05-25,69.15,69.52,69.12,69.52,48990
2017-05-26,70.46,70.46,68.43,68.97,28150
2017-05-29,68.97,69.34,68.97,69.15,79770
2017-05-30,69.52,69.55,69.15,69.52,49970
2017-05-31,69.23,69.55,68.83,68.83,133970
2017-06-01,68.86,69.59,68.86,69.15,19790
2017-06-02,69.15,69.52,68.79,69.52,11640
2017-06-05,69.23,69.52,69.15,69.52,21070
2017-06-06,69.52,69.63,68.9,69.63,40210
2017-06-07,69.63,69.85,69.15,69.85,32930
2017-06-08,69.7,69.7,69.34,69.52,1840
2017-06-09,68.86,69.88,68.86,69.52,7830
2017-06-12,69.52,70.57,69.15,70.57,55930
2017-06-13,70.94,70.94,70.06,70.94,19500
2017-06-14,70.97,73.52,70.94,72.79,140190
2017-06-15,73.52,73.52,72.79,72.79,13680
2017-06-16,72.79,73.89,72.79,72.9,13430
